a,a_incidences,b,b_incidences,c,c_incidences,d,d_incidences,e,e_incidences,f,f_incidences,g,g_incidences,h,h_incidences,i,i_incidences,j,j_incidences,k,k_incidences,l,l_incidences,m,m_incidences,n,n_incidences,o,o_incidences,p,p_incidences,q,q_incidences,r,r_incidences,s,s_incidences,t,t_incidences,u,u_incidences,v,v_incidences,w,w_incidences,x,x_incidences,y,y_incidences,z,z_incidences
Abdul Karim,"227,959",Bal,"162,123",Carrizo,"119,296",Dick,"120,166",Emile,"52,804",Fujisawa,"69,872",Gebeyehu,"97,791",Hirai,"130,601",Ignatova,"38,353",Jalo,"48,801",Kamanga,"143,494",Lora,"71,295",Marandi,"259,944",Nishad,"122,063",Oladimeji,"61,860",Patton,"101,599",Qawasmeh,"7,628",Riquelme,"119,614",Seck,"277,209",Tay,"99,860",Utkin,"21,828",Villagran,"44,789",Wittmann,"40,400",Xusainova,"1,037",Yerima,"42,271",Zakayo,"30,969"
Atta,"227,479",Brahim,"161,730",Conceição,"118,296",Demissie,"118,516",Esguerra,"52,717",Ferrero,"69,862",Grigorev,"97,714",Haroon,"130,573",Ido,"38,220",Jubaedah,"48,474",Karen,"143,407",Lartey,"70,759",Meier,"259,431",Nisar,"121,305",Ovando,"61,594",Patricio,"101,414",Qocayeva,"7,593",Rishidev,"119,358",Suryavanshi,"276,825",Tanner,"99,851",Umubyeyi,"21,807",van der Berg,"44,629",Wakefield,"40,064",Xhelaj,"1,034",Yenenesh,"41,857",Zubkova,"30,959"
Alizadeh,"226,726",Brewer,"161,691",Chun,"117,763",Dala,"117,221",Eugene,"52,556",Fantahun,"69,614",Gould,"97,489",Hay,"130,160",Ihara,"38,164",Jayasaval,"48,352",Kishan,"143,223",Lizarraga,"70,084",Manda,"258,519",Nasim,"120,597",Orang,"61,505",Pech,"100,451",Quimi,"7,556",Riyadi,"119,337",Sokolova,"276,634",Takele,"99,180",Umesawa,"21,717",Vadla,"44,621",Wee,"39,931",Xayrullayev,"1,024",Yoneyama,"41,407",Zago,"30,733"
Atieno,"226,695",Byrne,"160,660",Cadena,"117,005",Das Chagas,"116,771",Evdokimova,"52,514",Ferro,"69,265",Gawas,"97,271",Hayakawa,"129,804",Inostroza,"37,681",Johnny,"48,158",Kawashima,"142,691",Lucio,"70,059",Maie,"256,853",Noy,"120,411",Onah,"61,456",Priya,"100,415",Qweider,"7,540",Roshan,"118,274",Schmitt,"274,771",Tala,"98,692",Ulmer,"21,622",Voronov,"44,494",Woodruff,"39,791",Xana,"1,023",Yoshinaga,"41,071",Zameer,"30,598"
Abdulkadir,"225,877",Buba,"159,610",Chandio,"116,856",Dizon,"116,628",Edmonds,"52,488",Fedorenko,"69,191",Gado,"96,146",Hossin,"129,720",Inman,"37,542",Julaeha,"48,013",Koko,"142,455",Lakech,"70,058",Munir,"256,793",Ndala,"120,366",Ogino,"61,414",Pozo,"99,944",Quluyev,"7,515",Riyanto,"118,194",Safari,"274,193",Titova,"97,336",Ulaş,"21,273",Videla,"44,442",Wasilewski,"39,533",Xaitov,"1,022",Yeshiwork,"41,051",Zore,"30,422"
Amadu,"225,594",Borja,"159,582",Caughari,"116,607",Dimitrov,"116,457",Evaristo,"52,357",Fane,"69,181",Gusev,"95,890",Hesham,"129,451",Ichimura,"37,353",Jahangiri,"47,948",Kisan,"142,110",Labib,"69,776",Mahamadou,"255,061",Nyembo,"120,353",Omot,"61,315",Phanthavong,"99,903",Qasame,"7,507",Rasulova,"118,000",Shibata,"272,032",Tavakoli,"97,324",Umurerwa,"21,211",Valiyeva,"44,373",Wangmo,"39,486",Xuba,995,Yona,"40,604",Zazueta,"30,269"
Abou,"223,877",Barragan,"158,804",Chaparro,"116,100",Dino,"115,831",Em,"52,149",Farley,"68,919",Geremew,"95,228",Hinojosa,"128,545",Ishiwata,"37,109",Janssens,"47,588",Kapoor,"141,703",Leclerc,"69,287",Montiel,"254,773",Nabirye,"120,301",Odia,"61,277",Parekh,"99,448",Qocayev,"7,442",Ramsey,"117,893",Sissoko,"271,523",Tsukamoto,"97,186",Usenko,"21,143",Voicu,"44,321",Wheatley,"39,341",Xaitova,989,Y,"39,814",Zikhali,"30,076"
Ayub,"222,953",Bolaños,"158,464",Cain,"115,638",Duffy,"115,556",Esmatullah,"52,038",Furuta,"68,095",Gebremedhin,"94,532",Hasanov,"125,811",Isayal,"36,833",Jayasuriya,"47,170",Kabwe,"140,331",Lamptey,"69,218",Mim,"253,869",Ngombe,"120,300",Ogu,"61,156",Pelletier,"98,925",Quipildor,"7,402",Refaat,"117,116",Shamar,"271,188",Top,"97,084",Usha,"21,132",Vijayan,"44,269",Worley,"39,245",Xinico,989,Yordanova,"39,719",Zinga,"30,066"
Agostinho,"222,667",Bakr,"158,053",Cantu,"114,509",Dimitrova,"115,221",Elizabeth,"51,783",Fomenko,"67,958",Greer,"94,093",Harrington,"123,732",Iwabuchi,"36,776",Jost,"46,909",König,"139,493",Lanka,"69,196",Mbaye,"253,782",Nada,"119,919",Oh,"61,094",Pina,"98,604",Qutish,"7,287",Rathnayake,"117,108",Safi,"268,287",Touati,"97,067",Ukai,"21,101",Vasnet,"44,156",Willard,"39,178",Xhemali,987,Yordanov,"39,447",Zorina,"29,981"
Allam,"222,380",Brady,"157,282",Cuenca,"114,056",Danilova,"114,927",Es,"51,668",Fattah,"67,876",Gali,"93,978",Hess,"121,566",Idd,"36,741",Jad,"46,905",Kharat,"138,969",Laia,"68,824",Magalhaes,"253,603",Ntuli,"116,559",Oladipupo,"61,094",Pfeiffer,"95,677",Quintiliano,"7,267",Rony,"116,817",Shuaibu,"267,880",Tsunoda,"96,928",Ua,"20,960",Varol,"44,124",Womack,"38,930",Xammadova,983,Yonezawa,"38,566",Zuze,"29,829"
Abeba,"221,945",Belova,"157,163",Choc,"113,466",Dietrich,"114,734",Emerson,"51,616",Filali,"67,647",Grabowski,"93,917",Haidara,"121,163",Ikramov,"36,326",Jayawardana,"46,770",Ketema,"138,477",Livingston,"68,777",Maulana,"251,991",Nyambura,"116,338",Ogwang,"61,054",Polyakov,"95,602",Quiah,"7,252",Rukundo,"115,987",Sau,"266,328",Toyoda,"96,561",Urzua,"20,956",Veloz,"43,962",Wajid,"38,784",Xammadov,982,Yasmeen,"38,336",Zani,"29,659"
Arafat,"221,734",Boyer,"156,080",Caruso,"113,317",Debebe,"114,539",Ehsan,"51,170",Forte,"66,859",Güzel,"93,712",Henao,"120,781",Ikramova,"36,296",Jim,"46,575",Kumagai,"137,542",Leslie,"68,767",Modi,"251,490",Naderi,"115,166",Ouchi,"61,019",Pariyar,"94,263",Qodir,"7,229",Ranjbar,"115,798",Sahi,"265,449",Teka,"95,770",Ukachukwu,"20,937",Varas,"43,838",Wakil,"38,622",Xydias,982,Yussif,"37,955",Zink,"29,616"
Alfonso,"220,512",Boyko,"155,926",Chelangat,"112,716",Diez,"114,297",Egbe,"51,063",Fiseha,"66,195",Gosavi,"93,440",Hodges,"120,309",Izzo,"36,255",Jony,"46,505",Kabeya,"137,055",Lancaster,"68,339",Miyamoto,"250,991",Nagashima,"113,787",Oued,"60,986",Pretorius,"94,248",Quilca,"7,158",Rabi,"115,571",Shams,"263,050",Tint,"95,291",Ulutaş,"20,810",Vladimirova,"43,691",Wonda,"38,483",Xahuentitla,980,Yanagi,"37,614",Zaboun,"29,500"
Afolabi,"220,174",Berhe,"155,790",Concepcion,"112,682",Das Neves,"114,146",Ek,"50,975",Farina,"65,771",Guha,"93,242",Hagihara,"120,194",Indra,"35,988",Jindal,"45,672",Khattab,"136,867",Lamichane,"68,030",Meher,"249,887",Nuraeni,"113,465",Oscar,"60,863",Purwanti,"93,672",Quillen,"7,140",Rotich,"114,493",Stephen,"261,605",Tome,"95,201",Uhlig,"20,649",Vovk,"43,686",Weiner,"38,270",Xavier Pereira,978,Yeshimebet,"36,866",Zeinali,"29,492"
Ayoub,"219,931",Bahrami,"155,407",Corpuz,"111,724",Dongre,"114,001",Esam,"50,917",Fikre,"64,461",Ghadge,"92,866",Haule,"119,474",Issifou,"35,742",Jaleel,"45,497",Kassahun,"136,766",Lakhan,"67,911",Mansouri,"248,119",Narita,"112,921",Oli,"60,859",Panchal,"93,359",Qaidi,"7,107",Ridwan,"114,257",Sutar,"261,359",Tobias,"94,724",Ulysse,"20,622",Valbuena,"43,560",Winarsih,"38,241",Xic,978,Yoboue,"36,536",Zamble,"29,362"
Abidin,"219,423",Biradar,"155,015",Chavhan,"111,109",Demeke,"112,810",Emma,"50,456",Forrest,"64,301",Gaona,"92,857",Heath,"118,642",Ignatov,"35,684",Joachim,"45,158",Kisimba,"136,442",Litvinova,"67,842",Mann,"247,630",Nakai,"112,158",Otim,"60,853",Pascua,"93,195",Quaynor,"7,072",Rousseau,"113,736",Simeon,"259,420",Tamirat,"94,713",Useche,"20,558",Vitali,"43,482",Wasim,"37,997",Xasmammadov,976,Yinusa,"36,513",Zufan,"29,360"
Ahsan,"219,150",Braz,"154,560",Cabezas,"110,649",Diane,"110,718",Engti,"50,442",Faruq,"64,155",Goïta,"92,289",Haba,"118,555",Imron,"35,610",Jeffrey,"45,126",Kuroda,"135,329",Linda,"67,476",Marie,"247,271",Ndongo,"111,488",Olaniyan,"60,261",Pimenta,"92,118",Qudoos,"7,061",Rajavansi,"113,108",Shaker,"258,247",Tijjani,"94,466",Udayanga,"20,521",Vernon,"43,179",Wako,"37,287",Xuwu,969,Yavaş,"36,350",Zafra,"29,295"
Adjei,"217,670",Blair,"154,248",Castellano,"109,883",Drake,"110,641",Enache,"50,196",Fiore,"63,587",Grimm,"92,137",Hendricks,"117,979",Isaya,"35,450",Jahani,"44,823",Kesi,"134,508",Lika,"66,680",Mati,"245,051",Nuru,"110,280",Olaya,"60,237",Perrin,"92,081",Qutbuddin,"7,010",Ravi,"113,073",Sabry,"257,257",Tirki,"94,382",ul Rahman,"20,446",Valiev,"43,159",Wray,"37,181",Xhala,960,Yamani,"35,817",Zielinski,"29,070"
Agustin,"217,358",Bigirimana,"154,201",Caron,"109,807",Dale,"110,611",Elsherif,"50,161",Flor,"63,510",Gemechu,"91,792",Habte,"117,801",Ichihara,"35,431",Jaysval,"44,597",Kande,"133,865",Langley,"66,415",Mateo,"242,117",Nakao,"109,613",Okuno,"60,222",Popoola,"91,513",Queiros,"6,927",Ramdani,"112,023",Sene,"257,225",Tela,"93,675",Ural,"20,427",Veer,"42,742",Weerakoon,"36,950",Xaman,958,Yabe,"35,712",Ziba,"29,043"
Attia,"216,076",Bara,"154,105",Chetry,"109,356",Dmitriev,"110,411",Elnagar,"50,161",Fabre,"63,321",Galvao,"91,244",Hamadi,"116,593",Illiassou,"35,282",Jeffery,"44,432",Kurbonova,"133,715",Leonova,"66,389",Mya,"240,127",Nhat,"108,589",Oneill,"59,329",Ponomarenko,"91,482",Quandt,"6,896",Rima,"111,209",Sanusi,"256,880",Taketa,"93,271",Umuhire,"20,338",Villeda,"41,844",Worthington,"36,678",Xochitiotzi,953,Yanik,"35,636",Zenebu,"28,663"
Akhmedov,"215,210",Ballesteros,"153,868",Carson,"109,276",Dioaia,"109,994",Estes,"49,686",Fulton,"62,978",Gulab,"91,186",Hancock,"115,036",Irani,"35,243",Jayakody,"44,161",Koval,"133,538",Lyngdoh,"66,012",Mana,"238,551",Nguema,"108,377",Oladejo,"59,295",Pha,"90,975",Qanbarov,"6,850",Rada,"110,839",Saidova,"256,555",Tsimba,"93,083",Usuman,"20,316",Vinda,"41,431",Wisdom,"36,642",Xeka,950,Yassen,"35,468",Zelada,"28,606"
Alaa,"214,176",Baro,"153,497",Carballo,"108,803",Dyer,"109,367",Espina,"49,599",France,"62,621",Ghaderi,"90,859",Hakeem,"114,865",Iñiguez,"35,205",Jafri,"43,932",Kraus,"133,486",Landage,"65,900",Morozov,"238,446",Nomenjanahary,"107,882",Otsuki,"59,027",Pinho,"89,505",Querevalu,"6,795",Rakotoson,"110,740",Stephens,"256,260",Tomar,"92,748",Usumov,"20,262",Valiyev,"41,142",Wakamatsu,"36,264",Xalabile,948,Younoussa,"35,359",Zayyanu,"28,599"
Alzuhur,"211,436",Bolivar,"153,494",Cerqueira,"108,787",Doherty,"108,767",Evers,"49,256",Faheem,"61,426",Goda,"90,654",Hazrat,"113,790",Iwasa,"34,962",Jamison,"43,929",Koga,"133,368",Lesmana,"65,573",Men,"237,854",Nicolau,"107,881",Ozuru,"58,396",Philippe,"89,327",Qano,"6,767",Roger,"110,360",Sama,"254,147",Tufail,"92,445",Uwayo,"20,206",Vahid,"41,076",Wieland,"36,195",Xancanova,948,Yaw,"35,268",Zunguze,"28,590"
Asfaw,"210,854",Bila,"153,352",Celis,"108,025",do Amaral,"108,528",El Arab,"49,196",Feldman,"60,740",Gillespie,"90,341",Honma,"113,575",Ilyasov,"34,087",Jean-Louis,"43,876",Kano,"133,150",Lasisi,"65,289",Mubarak,"235,633",Ngandu,"107,135",Olimova,"58,197",Palli,"89,249",Quirke,"6,752",Rahma,"109,013",Sajid,"251,863",Titov,"92,143",Urra,"20,103",Vorontsova,"40,977",Waithira,"35,823",Xhelilaj,948,Yesharegion,"34,932",Zamarripa,"28,520"
Awan,"210,636",Barton,"153,277",Chernova,"107,820",Dalton,"107,629",Evdokimov,"49,171",Fanta,"60,678",Gates,"90,211",Hubbard,"113,384",Irene,"34,031",Javid,"43,663",Kurbonov,"132,924",Levesque,"64,845",Makarova,"234,730",Nakazawa,"106,418",Obaidullah,"58,141",Patar,"88,794",Quaglia,"6,748",Rakotoarivelo,"108,799",Salcedo,"250,574",Tsehaynesh,"91,598",Uwingabire,"20,083",Velandia,"40,494",Wi,"35,792",Xiques,944,Yuma,"34,898",Zorlu,"28,456"
Azeem,"210,440",Bwalya,"153,217",Cumbe,"107,736",Diarrassouba,"107,243",Epaka,"49,105",Fofanah,"60,461",Gond,"89,556",Htwe,"113,326",Israilov,"33,948",Jamiu,"43,438",Kahar,"131,222",Lyon,"64,333",Manjate,"233,478",Noguera,"105,870",Obeid,"57,823",Pavon,"88,719",Qayyom,"6,740",Raman,"108,638",Shimada,"250,544",Thakkar,"91,108",Urena,"19,993",Vahor,"40,475",Winston,"35,728",Xinic,935,Yaouba,"34,821",Zimin,"28,089"
Ahmat,"210,226",Baldwin,"152,710",Colmenares,"107,307",Diaw,"107,127",Egbo,"48,962",Fujikawa,"60,410",Gavrilov,"89,400",Habu,"112,948",Ibro,"33,908",Jammeh,"43,329",Kayumba,"131,115",Loor,"63,686",Mengistu,"233,477",Nakka,"104,824",Osoji,"57,807",Pir,"87,543",Quimby,"6,737",Rezende,"108,482",Saiekh,"248,960",Tamer,"90,779",Urabe,"19,979",Vadher,"40,356",Widjaja,"35,464",Xoa,926,Yarbrough,"34,369",Zeba,"28,002"
Angeles,"209,869",Baz,"152,437",Conway,"106,592",Delgadillo,"107,032",Exposito,"48,450",Falk,"60,054",Goel,"89,373",Hannan,"111,913",Imali,"33,903",Jeffries,"43,235",Kurihara,"131,032",Lazarev,"63,406",Moh,"231,837",Ndayisaba,"104,724",Ojonjoku,"57,771",Peñaloza,"87,363",Quina,"6,730",Reese,"108,231",Siqueira,"248,779",Tomaz,"88,862",Uzakova,"19,796",Vilchis,"39,583",Wambugu,"35,409",Xxxxxxxxxxxxxxxxxxxxxxxxxxxxx,925,Yenga,"34,340",Zorin,"27,578"
Al-Amin,"208,976",Balla,"152,096",Cabello,"105,934",de La Torre,"106,932",Erkan,"48,347",Fortuna,"59,813",Gay,"88,569",Habou,"111,580",Ivey,"33,898",Jami,"43,113",Kyi,"130,849",Luca,"62,974",MacDonald,"231,721",Nyarko,"104,022",Ordaz,"57,458",Perales,"87,134",Quimuanga,"6,711",Randall,"108,152",Shaban,"246,343",Talebi,"88,521",Ugwoke,"19,795",Vind,"39,553",Wibisono,"35,395",Xaviour,924,Yas,"34,336",Zhumabaeva,"27,166"
Auma,"207,910",Baumann,"151,409",Chepkemoi,"105,527",Darji,"106,431",Eser,"48,322",Faber,"59,114",Gavrilova,"88,488",Haro,"110,952",Izawa,"33,862",Johnsen,"43,036",Kemp,"130,784",Labrador,"62,746",Miyazaki,"230,290",Nagano,"103,422",Olimov,"57,414",Pavlović,"86,321",Qul,"6,693",Raihan,"107,926",Shafique,"246,230",Timofeev,"88,253",Ujiie,"19,777",Vegas,"39,378",Wasswa,"35,118",Xancanov,915,Yassine,"33,454",Zeybek,"27,097"
Abo,"207,833",Bach,"151,149",Chirinos,"105,292",Dung,"105,987",Ejaz,"48,251",Fujino,"58,779",Galli,"88,250",Hailemariam,"110,476",Ingale,"33,861",Jerry,"42,750",Köhler,"130,510",Llamas,"62,573",Mohamedi,"230,128",Naresh,"102,898",Ousmanou,"56,848",Paschal,"85,347",Quayle,"6,684",Razafimandimby,"107,581",Sitoe,"245,608",Topal,"87,969",Ushijima,"19,739",Velpula,"39,341",Waithera,"35,082",Xicol,914,Yupanqui,"32,999",Zykova,"26,935"
Achieng,"207,753",Babatunde,"150,660",Cele,"104,010",Dieudonne,"105,646",Ekpenyong,"48,114",Fujioka,"58,704",Goncharov,"88,053",Herawati,"110,270",Iwaki,"33,848",Jasiński,"42,516",Kiani,"129,620",Luk,"62,394",Majumder,"229,856",Nnaji,"102,397",Oulare,"56,847",Piotrowski,"85,143",Quimis,"6,645",Razzak,"107,419",Sagar,"243,833",Tati,"87,590",Uhl,"19,139",Vilches,"39,275",Wing,"35,075",Xhemaili,904,Yisa,"32,742",Zaremba,"26,841"
Alawi,"206,764",Buthelezi,"150,520",Cote,"103,985",de Franca,"104,653",Ekici,"47,973",Ferreira da Silva,"58,321",Geronimo,"87,543",Hartman,"109,978",Inci,"33,612",Jakob,"42,499",Kui,"129,506",Levine,"61,881",Mikhaylova,"226,520",Naher,"101,296",Olawale,"56,518",Panjaitan,"85,034",Qal,"6,633",Raharison,"106,237",Sanou,"242,503",Tata,"87,446",Uraon,"19,131",van Heerden,"38,914",Willy,"35,022",Xuyen,903,Yeager,"32,690",Zumba,"26,768"
Abate,"205,015",Bogale,"149,109",Casimiro,"103,292",Davydova,"104,488",El Sewedy,"47,698",Fleury,"58,188",German,"87,371",Hood,"109,809",Ibraev,"33,351",Jewell,"42,443",Kahraman,"129,402",Larkin,"61,562",Mahlangu,"225,400",Nasseri,"100,912",Ogundele,"56,432",Pohl,"84,918",Quarta,"6,623",Reilly,"106,206",Shekh,"241,119",Tshibuabua,"87,409",Uguru,"19,120",Vue,"38,665",Widiastuti,"34,967",Xelhua,894,Yuda,"32,531",Zerouali,"26,633"
Ahmmed,"204,417",Borisov,"148,318",Claude,"103,204",Dosso,"104,253",Ershov,"47,643",Fikru,"58,082",Gatkuoth,"87,200",Howe,"108,953",Itagaki,"33,341",Jafarzadeh,"42,420",Kenes,"129,303",Lanza,"61,385",Mohamad,"224,881",Nel,"100,115",Osborn,"55,897",Prayitno,"84,250",Quilodran,"6,612",Rinaldi,"105,779",Sattar,"238,964",Tadvi,"86,443",Utkina,"18,921",Villacorta,"38,513",Willson,"34,958",Xagoraris,883,Yohanis,"32,454",Zoundi,"26,576"
Aktaş,"202,444",Bukhari,"146,985",Coker,"103,178",Diana,"103,803",Elenga,"47,600",Fukazawa,"57,915",Guillaume,"86,856",Hirayama,"108,582",Ishaka,"33,296",Jokar,"42,210",Kamata,"128,149",Luanglath,"61,173",Maruyama,"224,248",Nagel,"100,112",O'Connell,"55,891",Panchenko,"84,222",Qanoe,"6,577",Riveros,"105,122",Samaila,"236,839",Tinoco,"86,343",Uygur,"18,831",Vakili,"38,267",Wylie,"34,756",Xanmammadova,874,Yamano,"32,400",Zanini,"26,432"
Akinyi,"202,307",Beg,"145,993",Conrad,"102,630",de Medeiros,"103,374",El Mostafa,"47,556",Fatai,"57,230",Gana,"86,846",Hines,"107,620",Ignatenko,"33,280",Janat,"42,199",Kamali,"127,981",Leroux,"61,129",Memon,"223,893",Narciso,"99,596",Ochi,"55,195",Purnama,"84,152",Quayum,"6,513",Ramaroson,"104,534",Schwarz,"236,782",Toda,"85,724",Uchoa,"18,603",Vaddar,"38,204",Willoughby,"34,563",Xwayi,874,Yavari,"32,026",Zekarias,"26,390"
Amini,"200,174",Bosco,"145,916",Cherotich,"102,125",de Jong,"103,203",El Gamal,"47,530",Fonseka,"57,222",Gracia,"86,809",Hyeon,"106,740",Iskandarov,"33,183",Jasmin,"42,152",Kern,"127,206",Lakmal,"60,916",Mbewe,"221,252",N'Goran,"99,328",Ostapenko,"54,610",Panchaal,"84,038",Qavtaradze,"6,481",Rauta,"104,333",Sethi,"236,708",Tashiro,"85,659",Uttekar,"18,228",Vandi,"37,947",Whaley,"34,355",Xooc,864,Yeoh,"31,623",Zra,"26,285"
Araújo,"199,942",Booth,"145,391",Cobb,"101,261",Dillon,"103,039",Etavi,"47,337",Fujimura,"57,060",Gentile,"86,780",Hajong,"106,705",Ioannou,"33,179",Joyner,"42,013",Katayama,"126,877",Lavoie,"60,513",Mamo,"220,498",Nand,"99,271",Ocaña,"54,526",Pichardo,"83,086",Quresh,"6,445",Rizvi,"104,069",Schmid,"235,734",Tayeb,"85,482",Uchenna,"18,174",Veres,"37,744",Wiegand,"34,220",Xoagus,853,Yeşilyurt,"31,469",Zakria,"26,114"
Andreev,"199,707",Bhalerao,"144,898",Chola,"101,203",Dava,"102,687",Edmond,"47,246",Franks,"56,634",Gavande,"86,765",Hidayah,"106,658",Iradukunda,"33,130",Jacqueline,"41,934",Kwan,"126,241",Lusamba,"60,430",Murata,"220,312",Nyongesa,"98,460",Odedar,"54,447",Pollard,"83,046",Qahir,"6,317",Ramanantsoa,"103,857",Souley,"234,961",Tikhonova,"85,409",Ufot,"18,160",Viray,"37,646",Wanjiru,"34,144",Xakaie,848,Yegon,"31,450",Zahiri,"25,747"
Abad,"199,384",Bush,"144,795",Carreon,"100,878",Danilov,"102,556",Eliseeva,"46,949",Finn,"56,232",Gia,"86,612",Hajar,"105,871",Ilham,"32,912",Jun,"41,846",Kita,"125,277",Loginova,"60,250",Mba,"220,264",Njoki,"98,061",Olarte,"54,349",Poma,"82,425",Qoe,"6,199",Rusu,"102,844",Sanga,"233,308",Tamaki,"84,771",Uqueio,"17,995",Vladimirov,"37,607",Wahed,"33,914",Xayimpi,846,Yama,"30,832",Zanon,"25,693"
Agha,"196,011",Belem,"144,256",Cham,"100,790",Davlatov,"102,260",El Alami,"46,511",Frederic,"55,947",Good,"86,576",Hidayati,"105,847",Iskandarova,"32,786",Josiah,"41,743",Kamil,"123,415",Lukas,"60,213",Monga,"219,411",Nabwire,"97,992",Orazova,"54,106",Parween,"82,237",Qim,"6,179",Romanenko,"101,808",Sall,"230,952",Torrealba,"84,693",Ueca,"17,916",Verissimo,"37,604",Wenger,"33,888",Xielin,843,Yalew,"30,813",Zari,"25,627"
Alemitu,"195,268",Brennan,"144,187",Chim,"99,488",Davlatova,"101,487",Elshiekh,"46,440",Florence,"55,739",Gerasimova,"85,808",Harmon,"105,778",Iba,"32,529",Jesmin,"41,457",Kovaleva,"123,107",Lolo,"60,170",Maria,"219,297",Nicholas,"97,373",Orazov,"53,941",Pereira da Silva,"81,901",Qaseem,"6,158",Rosário,"101,433",Selemani,"230,797",Teo,"84,637",Ueoka,"17,904",Vita,"37,560",Wahdan,"33,718",Xeque,836,Yağci,"30,784",Zacharias,"25,403"
Asnakech,"194,628",Bayram,"143,796",Celestin,"99,441",Dönmez,"101,325",Eddy,"46,385",Fawaz,"55,667",Gheorghe,"85,095",Huanca,"105,393",Intriago,"32,497",Jat,"41,376",Karri,"122,670",Laha,"60,071",Murtaza,"218,247",Ndagijimana,"96,748",Orta,"53,512",Pedroza,"81,797",Qiatassi,"6,147",Rajwar,"100,074",Sampaio,"229,453",Tamboli,"83,466",Uzzal,"17,901",Vinson,"37,537",Wesonga,"33,615",Xabendlini,827,Yamajiro,"30,724",Zangmo,"25,349"
Andre,"194,592",Badi,"143,498",Connolly,"98,858",de Luca,"101,027",Echavarria,"46,350",Filip,"55,135",Gitau,"84,641",Hemaram,"104,556",Ibrah,"32,474",Jaeger,"41,255",Kemal,"122,566",Lashari,"59,802",Mohmed,"218,212",Ngongo,"96,658",Okot,"53,107",Pugh,"81,662",Quimbayo,"6,131",Rigi,"99,884",Schultz,"228,397",Tolno,"83,095",Urso,"17,828",Venturini,"37,434",Wulf,"33,538",Xuwang,824,Yshchenko,"30,648",Zavyalova,"25,144"
Aragon,"193,176",Baruah,"143,335",Corral,"98,081",Damasceno,"100,815",El Alaoui,"46,279",Finley,"54,888",Gatwech,"84,445",Hartati,"104,082",Issak,"32,373",Jemanesh,"41,211",Kowalczyk,"122,390",Lodhi,"59,685",Mokhtar,"216,196",Nkomo,"96,614",Onyia,"52,551",Petrosyan,"81,513",Qatamadze,"6,126",Rasooli,"97,431",Schäfer,"228,242",Tkachuk,"82,498",Uicab,"17,810",Vasim,"37,367",Wadekar,"33,366",Xydis,816,Youssif,"30,612",Zarco,"24,779"
Altamirano,"193,046",Bota,"143,232",Cali,"97,443",Diatta,"100,080",Elbaz,"45,890",Fabbri,"54,672",Grimes,"83,998",Holloway,"104,019",Itakura,"32,187",Jee,"40,984",Kotov,"122,235",Lamidi,"59,616",Magaji,"215,532",Ngono,"96,041",Oloyede,"51,001",Padilha,"81,278",Quisquina,"6,124",Riad,"97,298",Szabó,"227,922",Talavera,"82,364",Uğuz,"17,776",van der Walt,"37,084",Wegayehu,"33,351",Xanmammadov,813,Yare,"30,151",Zamfir,"24,611"
Ashour,"192,462",Bertrand,"142,721",Collado,"97,029",Dasa,"99,297",Etava,"45,811",Foo,"54,144",Gorbunova,"83,935",Hampton,"103,606",Iskhakova,"32,010",Josue,"40,857",Kifle,"121,456",Langlois,"59,518",Mohamud,"215,131",Nega,"95,732",Ovezova,"50,906",Phelps,"81,174",Qomariah,"5,996",Rais,"97,295",Sokolov,"227,916",Taborda,"82,218",Uçak,"17,774",Vollmer,"36,905",Waswa,"33,342",Xenidis,812,Yilmaz,"30,013",Zau,"24,560"
Athumani,"191,414",Bhowmik,"142,609",Cezar,"96,738",de Sa,"99,239",Elsharkawy,"45,805",Ferdousi,"54,140",Gull,"83,697",Hashmi,"103,463",Ichinose,"31,971",Jyoti,"40,600",Kodama,"121,358",Lowery,"59,451",Malakar,"214,178",Nadaf,"95,614",Onwuka,"50,640",Palomo,"80,954",Qasemzadeh,"5,950",Razafimahatratra,"97,070",Sunar,"227,782",Tiendrebeogo,"80,981",Umo,"17,554",Vasseur,"36,759",Westbrook,"33,294",Xaverius,809,Yujad,"29,766",Zizou,"24,257"
Aregash,"191,244",Barasa,"141,377",Cengiz,"95,893",Donnelly,"98,301",Eldridge,"45,566",Fortune,"53,756",Gadzhiev,"83,353",Hana,"103,382",Ishimoto,"31,966",Jerash,"40,442",Kho,"121,119",Laurindo,"59,332",Mar,"214,093",Nobre,"95,472",Ofosu,"50,584",Papa,"80,947",Quim,"5,910",Rakhmonova,"96,700",Sana,"226,625",Teron,"80,870",Underhill,"17,219",Vivi,"36,751",Wouters,"33,267",Xaka,808,Yeasin,"29,721",Zubov,"24,248"
Asante,"191,242",Bhai,"140,973",Cueva,"95,847",Dalei,"97,999",Eker,"45,421",Fauziah,"53,675",Gaytan,"83,104",Huamani,"102,519",Inui,"31,956",Jihad,"40,261",Kirk,"121,009",Lezama,"58,952",Mokoena,"213,942",Ndunguru,"94,950",Oi,"50,480",Panzo,"80,797",Qosimova,"5,858",Rohmah,"96,640",Soumah,"223,471",Toto,"80,855",ul Hasan,"17,215",Victoriano,"36,686",Weiler,"33,261",Xochitemol,802,Yaroshenko,"29,652",Zewdinesh,"23,987"
